Unnamed: 0,What was the purpose of your journey?,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
en,,"Visiting family, friends or relatives",,Very satisfied,,Website luxair.lu,Yes,Very satisfied,Very satisfied,,Very satisfied,,No,,,Very satisfied,,Very satisfied,,Very satisfied,,10,,,Professional and courteous service . Good refreshments on board. Safety instructions you actually enjoy watching with attention. Well done !,MLA,LUX,SMART,Couple
en,,,Business / Professional reason,Very satisfied,,Mobile App,No,Very satisfied,,,Very satisfied,,No,,,Very satisfied,,Very satisfied,,,,10,,,On board service/quality of food and drink offer,DUB,LUX,LIGHT,Single
fr,Leisure / Holiday,,,Very satisfied,,Website luxair.lu,No,Very satisfied,,,Very satisfied,,Yes,Very satisfied,,Very satisfied,,Very satisfied,,,,10,,,Bonne compagnie.  Tout est bon.🙏,LUX,OPO,LIGHT,Single
en,,"Visiting family, friends or relatives",,Very satisfied,,Mobile App,No,Very satisfied,,,Very satisfied,,No,,,Very satisfied,,Very satisfied,,,,10,,,"I really like your company, it provides modern clean aircrafts and food on board! I like your services very much, good job!",LUX,NCE,LIGHT,Couple
fr,Leisure / Holiday,,,Very satisfied,,Website luxair.lu,Yes,Very satisfied,Very satisfied,,Very satisfied,,No,,,Very satisfied,,Very satisfied,,Very satisfied,,10,,,"mon aéroport préféré, calme, personnel aimable",LUX,DWC,SMART,Family
fr,,"Visiting family, friends or relatives",,Very satisfied,,Website luxair.lu,No,Very satisfied,,,Very satisfied,,No,,,Very satisfied,,Very satisfied,,,,10,,,,LUX,VCE,FLEX,Single
en,Leisure / Holiday,,,Very satisfied,,Mobile App,,Very satisfied,,,Very satisfied,,No,,,Satisfied,,Very satisfied,,,,10,,,Reliable friendly service,LUX,,,
en,,"Visiting family, friends or relatives",,Satisfied,,Website luxair.lu,No,Satisfied,,,Very satisfied,,No,,,Satisfied,,Very satisfied,,,,10,,,I would recommend Luxair because of the good and friendly service.,VIE,LUX,LIGHT,Single
en,,"Visiting family, friends or relatives",,Very satisfied,,Mobile App,No,Very satisfied,,,Very satisfied,,No,,,Very satisfied,,Very satisfied,,,,10,,,"Super expérience, j adore voyager avec Luxair ",LUX,LCY,SMART,Single
en,,,Business / Professional reason,Very satisfied,,Website luxair.lu,Yes,Very satisfied,Very satisfied,,Very satisfied,,No,,,Very satisfied,,Very satisfied,,Very satisfied,,10,,,The Quality of the flight experience. Nothing bothersome and overall clean as well as good service at every stage. ,LUX,LCY,SMART,Single
en,Leisure / Holiday,,,Very satisfied,,Website luxair.lu,Yes,Very satisfied,Very satisfied,,Very satisfied,,No,,,Very satisfied,,Very satisfied,,Very satisfied,,10,,,"Nothing , everything was perfect ",LUX,LCY,SMART,Single
en,Leisure / Holiday,"Visiting family, friends or relatives",,Satisfied,,Check-In counter at the airport,Yes,,Very satisfied,,Satisfied,,No,,,Satisfied,,Very satisfied,,Satisfied,,10,,,Your reliability,LUX,RAI,FLEX,Couple
fr,,,Business / Professional reason,Very satisfied,,Website luxair.lu,Yes,Very satisfied,Very satisfied,,Satisfied,,No,,,Very satisfied,,Very satisfied,,Very satisfied,,10,,,,AGP,LUX,SMART,Single
de,Leisure / Holiday,,,Very satisfied,,Website luxair.lu,Yes,Very satisfied,Very satisfied,,Very satisfied,,No,,,Very satisfied,,Very satisfied,,Unsatisfied,"Das Gepäckband blieb immer wieder stehen, da hätte jemand kommen und das in Ordnung bringen müssen.",10,,,"Pünktlichkeit, Bordservice, Preise",VIE,LUX,SMART,Family
